i1    . i1          121.8463299617
i1    . i2         -121.8463299617
i2    . i1          121.8463299617
i2    . i2         7222.1719219397
i2    . i4        -4649.9676916441
i2    . i6        -1544.7451369939
i2    . i8         -672.1647407285
i2    . i10        -446.7929017618
i2    . i12        -310.2590028517
i2    . i14        -227.1977777454
i2    . i16        -169.9845741897
i2    . i18        -127.4303605834
i2    . i20         -93.5539158654
i2    . i22         -65.0098675099
i2    . i24         -39.7412450438
i2    . i26         -16.3745222358
i2    . i28           6.1064668779
i2    . i30          28.5598412398
i2    . i32          51.8520101632
i2    . i34          77.0547214702
i2    . i36         106.0293299630
i2    . i38         141.3344273509
i2    . i40         209.0573483775
i2    . i42         399.2093398095
i3    . i3          243.6926599234
i3    . i4         -243.6926599234
i4    . i2        -4649.9676916441
i4    . i3          243.6926599234
i4    . i4        10213.4532971716
i4    . i6        -3692.1334086434
i4    . i8        -1174.3113115369
i4    . i10        -443.1416561956
i4    . i12        -297.1082442779
i4    . i14        -204.6477258061
i4    . i16        -149.5575445287
i4    . i18        -111.6821593215
i4    . i20         -83.6171113308
i4    . i22         -61.3667999915
i4    . i24         -42.7187212341
i4    . i26         -26.3046396519
i4    . i28         -11.2000500590
i4    . i30           3.2960584296
i4    . i32          17.8071318348
i4    . i34          33.0152405791
i4    . i36          49.9883059059
i4    . i38          70.1438866107
i4    . i40         107.3031353894
i4    . i42         209.0573483775
i5    . i5          243.6926599234
i5    . i6         -243.6926599234
i6    . i2        -1544.7451369939
i6    . i4        -3692.1334086434
i6    . i5          243.6926599234
i6    . i6        10540.6202126906
i6    . i8        -3550.5396347565
i6    . i10       -1083.1242537968
i6    . i12        -381.9143663183
i6    . i14        -253.4270512209
i6    . i16        -172.3625217745
i6    . i18        -125.1695800871
i6    . i20         -93.1183904758
i6    . i22         -69.5930008045
i6    . i24         -51.0631762173
i6    . i26         -35.6028059349
i6    . i28         -22.0259785155
i6    . i30          -9.5250203885
i6    . i32           2.5348094103
i6    . i34          14.7611681437
i6    . i36          27.9879834621
i6    . i38          43.2691783363
i6    . i40          70.1438866107
i6    . i42         141.3344273509
i7    . i7          243.6926599234
i7    . i8         -243.6926599234
i8    . i2         -672.1647407285
i8    . i4        -1174.3113115369
i8    . i6        -3550.5396347565
i8    . i7          243.6926599234
i8    . i8        10611.2901479536
i8    . i10       -3501.3570043848
i8    . i12       -1048.0362637224
i8    . i14        -355.8469661658
i8    . i16        -233.5876603115
i8    . i18        -157.0153728565
i8    . i20        -113.2009149694
i8    . i22         -83.7867535190
i8    . i24         -62.3904394693
i8    . i26         -45.6311454077
i8    . i28         -31.6781139900
i8    . i30         -19.4019751933
i8    . i32          -8.0154471417
i8    . i34           3.1394155931
i8    . i36          14.8359013522
i8    . i38          27.9879834621
i8    . i40          49.9883059059
i8    . i42         106.0293299630
i9    . i9          243.6926599234
i9    . i10        -243.6926599234
i10   . i2         -446.7929017618
i10   . i4         -443.1416561956
i10   . i6        -1083.1242537968
i10   . i8        -3501.3570043848
i10   . i9          243.6926599234
i10   . i10       10647.7226465696
i10   . i12       -3473.9863394252
i10   . i14       -1026.9011765031
i10   . i16        -339.2969261192
i10   . i18        -220.5248442897
i10   . i20        -146.6903333457
i10   . i22        -105.0860459171
i10   . i24         -77.5016960032
i10   . i26         -57.6534942866
i10   . i28         -42.2254877842
i10   . i30         -29.4252687968
i10   . i32         -18.1347820062
i10   . i34          -7.5436416630
i10   . i36           3.1394155931
i10   . i38          14.7611681437
i10   . i40          33.0152405791
i10   . i42          77.0547214702
i11   . i11         243.6926599234
i11   . i12        -243.6926599234
i12   . i2         -310.2590028517
i12   . i4         -297.1082442779
i12   . i6         -381.9143663183
i12   . i8        -1048.0362637224
i12   . i10       -3473.9863394252
i12   . i11         243.6926599234
i12   . i12       10669.1742808996
i12   . i14       -3456.8918057271
i12   . i16       -1013.2081297964
i12   . i18        -328.3262518423
i12   . i20        -211.7843232292
i12   . i22        -139.8144690326
i12   . i24         -99.7985256066
i12   . i26         -73.5886904344
i12   . i28         -54.9431745009
i12   . i30         -40.5700949023
i12   . i32         -28.6809814160
i12   . i34         -18.1347820062
i12   . i36          -8.0154471417
i12   . i38           2.5348094103
i12   . i40          17.8071318348
i12   . i42          51.8520101632
i13   . i13         243.6926599234
i13   . i14        -243.6926599234
i14   . i2         -227.1977777454
i14   . i4         -204.6477258061
i14   . i6         -253.4270512209
i14   . i8         -355.8469661658
i14   . i10       -1026.9011765031
i14   . i12       -3456.8918057271
