i1            4.2500000000
i2           -9.1429000000
i3            8.5000000000
i4           -0.2112500000
i5            8.5000000000
i6            0.9410500000
i7            8.5000000000
i8            1.2032500000
i9            8.5000000000
i10           1.3412500000
i11           8.5000000000
i12           1.4137000000
i13           8.5000000000
i14           1.4516500000
i15           8.5000000000
i16           1.4758000000
i17           8.5000000000
i18           1.4861500000
i19           8.5000000000
i20           1.4930500000
i21           8.5000000000
i22           1.4965000000
i23           8.5000000000
i24           1.4930500000
i25           8.5000000000
i26           1.4861500000
i27           8.5000000000
i28           1.4758000000
i29           8.5000000000
i30           1.4516500000
i31           8.5000000000
i32           1.4137000000
i33           8.5000000000
i34           1.3412500000
i35           8.5000000000
i36           1.2032500000
i37           8.5000000000
i38           0.9410500000
i39           8.5000000000
i40          -0.2112500000
i41           4.2500000000
i42          -9.1429000000
